shard,i,relwidth_M,relwidth_a_star,relwidth_eps_f,relwidth_eps_Q,relwidth_log10_A_bounce,relwidth_log10_dt_bounce_s,relwidth_D_L,relwidth_i
50,2,1.427829001076532e-09,1.0247194479864115e-11,1.587586785089905e-09,3.248543673558851e-09,3.7604853027439584e-06,1.594054006951774e-11,0.0003040380788141412,0.0038370402591127177
50,3,0.07913475879215212,0.02224602838806447,0.18035355821053708,0.0504522474933574,5.86946024987251e-06,1.0172935544298528e-05,0.09027658983717943,0.13386530535550617
50,4,4.0806103732399143e-10,2.941879504264463e-12,5.278236192836291e-10,9.478339036932717e-10,2.116160303596164e-06,4.631771196485359e-12,0.0003289000287566695,0.0038505067293889083
50,5,0.05788093435412828,0.018051631074421367,0.17897615553391052,0.1628074223158588,0.036202617552321285,0.07040012725789255,0.10328427568362299,0.09332052684046199
50,6,4.2805035482517945e-09,3.493566406570109e-11,4.3764328083886136e-09,1.0181702517501358e-08,6.4933906154027895e-06,5.876169311468662e-11,0.0006058130979922343,0.0052194876729622156
50,7,0.03949091822827823,0.2159985624214686,0.2741981812724385,0.17634697256502918,0.14156455195678377,0.26242678745266174,0.14594918541597432,0.2125982402644503
50,8,2.605835484274485e-09,1.2160906022531409e-11,2.8209218584912662e-09,3.5790333747876954e-09,4.210817590193211e-06,1.6184194298198233e-11,0.00035148330267709057,0.004153950494537511
50,9,0.04886182589134347,0.21591166081052454,0.2403190798548285,0.12334817150313745,0.11328389275023047,0.2748344967502912,0.08649633760266234,0.2916350967649043
50,10,6.347993057678488e-10,3.105515763666354e-12,7.138616783090471e-10,9.142620971608704e-10,1.9360332105912855e-06,3.755207013052553e-12,0.0003420763161023356,0.004044661111748384
50,11,2.285098245270754e-05,1.8202854149419667e-12,2.463878946737147e-05,6.354049497812322e-10,1.7384365583353077e-06,2.0007639001625073e-12,0.00037719074230732033,0.004165895251452395
50,12,2.900965353467767e-08,9.898559390651043e-12,3.109581318957744e-08,4.164163599498485e-09,4.245550328120764e-06,1.0944807239127292e-11,0.0002982353804881427,0.00385470904056021
50,13,0.03851752007681061,0.009502966098932355,0.21917061965963122,0.19756480209800975,0.1192123714001532,0.2616116947793835,0.1489226240535133,0.2574620096208898
50,14,0.04036825255550973,0.2311516467827126,0.2703145969022399,0.23225833072634652,0.14276396575904762,0.3220099661440583,0.14306916200322076,0.21704607935481685
50,15,0.04544120486032646,0.00062953184517753,0.12955569581442378,0.11915085902402005,0.000514034021963243,0.00037666265484216996,0.08807000831266977,0.22223111817095803
50,16,2.6948150074957887e-10,1.7917144432181975e-08,2.784695903147054e-10,2.5129066623288743e-09,3.680679396294974e-06,4.908226398236193e-12,0.00041251664318592025,0.00488118333436273
50,17,0.00048381391637166603,0.00813038042630792,0.013228114863877843,0.013646265712060818,0.006454657668224027,4.836034640876484e-06,0.14372840065624512,0.18360819019746216
50,18,0.044247057892749526,0.2023970441886289,0.26890145580707203,0.21695838266634979,0.001232359439719385,0.0012290880916475061,0.11492521359151425,0.1756068362121611
50,19,4.877642910044298e-05,4.8868054799496465e-12,5.261042449148035e-05,1.7705277956882685e-09,2.7828353821631187e-06,5.521167765867983e-12,0.0004795867253339222,0.004645346091683414
